objectid,filename,youtubeid,title,creator,date,description,subject,location,source,link,identifier,type,format,language,rights,rightsstatement
demo_011,https://weblinks.nationalmuseum.gov.ph/wp-content/uploads/2021/08/01122220/Architecture-and-Furnitures-1_Panolong-scaled.jpg,,Maranao Okir Wood Carvings ,Maranao artisans,14th century CE – present,"Maranao Okir utilize form and creative expression to create unique decorative art pieces created by the people of the Maranao tribe, who live in the Lanao del Sur region of Mindanao. Maranao culture has a rich tradition of creating Okir, which has flowing designs made with intricate line work that often utilize geometric figures (shapes) with influences from both the natural world (flora and fauna) and mythical creatures. Okir is also applied to various pieces of furniture (houses), special event-related items (boats), musical instruments, and ceremonial artifacts. Okir has both indigenous and Muslim cultural roots, and represents the identity through one's creation of Okir, as well as demonstrates the social status, pride, and prestige of the individuals associated with the Maranao tribes.",Wood Carving; Islamic Art Influence; Maranao Culture; Decorative Arts; Indigenous Design,"Lanao del Sur, Mindanao, Philippines",National Commission for Culture and the Arts (NCCA); National Museum of the Philippines,,LK-LAN-011,Wood Carving / Decorative Art,image/jpeg,English,Used for educational and reference purposes only. Copyright belongs to the National Museum of the Philippines.,https://rightsstatements.org/vocab/InC/1.0/
demo_012,https://collectionapi.metmuseum.org/api/collection/v1/iiif/626371/1348451/main-image?raw=true,,Ifugao Bulul,Ifugao ritual carvers and spiritual artisans,16th century CE – present,"The Ifugao Bulul is a carved wooden statue representing the spirit guardians of rice, and the ancestors of the people of Ifugao in the Cordillera region of the Philippines. These statues were traditionally placed in granaries and fields, and were believed to protect rice crops, foster fertility, and provide an abundance of rice at harvest time. Each Bulul was ritually ceremonially blessed, signifying the deep spiritual connections among agriculture, ancestors, and daily life in Ifugao culture. The Bulul still represents powerful symbols of Indigenous belief systems in the Philippines today.",Ancestral Worship; Ritual Objects; Rice Culture; Cordillera Traditions; Sculpture,"Ifugao Province, Cordillera Administrative Region, Philippines",National Museum of the Philippines; Cordillera cultural heritage records,,LK-IFU-012,Sculpture / Ritual Object,image/jpeg,English,Copyright © The Metropolitan Museum of Art. Some images may be Open Access (CC0).,https://rightsstatements.org/vocab/InC/1.0/
demo_013,https://www.google.com/imgres?q=T’boli%20T’nalak&imgurl=https%3A%2F%2Fimages.squarespace-cdn.com%2Fcontent%2Fv1%2F5961c8ce3e00be4fb1decc32%2F1579925189414-B34Q1GTIV6LA8N6ZN1HI%2Ftnalak-weaving-philippines3&imgrefurl=https%3A%2F%2Fwww.thetextileatlas.com%2Fcraft-stories%2Ftnalak-weaving-philippines&docid=lb39-VijlTOk1M&tbnid=BVJqZsh5XBj6VM&vet=12ahUKEwjmwIrGkLuUAxVPoK8BHfkxIDsQnPAOegQIKxAB..i&w=1000&h=547&hcb=2&ved=2ahUKEwjmwIrGkLuUAxVPoK8BHfkxIDsQnPAOegQIKxAB?raw=true,J0src2o6wx8,T’boli T’nalak,T’boli women weavers,Pre-colonial period – present,"The sacred textile, T’nalak, is made by the T’boli people of South Cotabato, using traditional handweaving techniques. Skilled women (known as “dreamweavers”) create these textiles, believing that the spirit guardian Fu Dalu reveals their designs in dreams. Creating T’nalak is very detail-oriented and requires a lot of patience, as the weavers use abaca fibers dyed in the traditional manner. T’nalak is used to create cultural items for rituals and ceremonies that represent identity and spirituality.",Textile Weaving; Dreamweaving Tradition; Indigenous Culture; Fabric Arts; South Cotabato Heritage,"South Cotabato, Mindanao, Philippines",NCCA (National Commission for Culture and the Arts); T’boli cultural communities,https://youtu.be/J0src2o6wx8?si=zZ97zj_j86dc8zq4,LK-SCO-013,Textile / Woven Fabric,image/jpeg; video/mp4,English,Used for educational and non-commercial purposes. Copyright belongs to The Textile Atlas and respective creators.,https://rightsstatements.org/vocab/InC/1.0/
demo_014,https://cdn.shortpixel.ai/spai/q_lossy+w_1350+to_auto+ret_img/centerforworldmusic.org/wp-content/uploads/2021/09/Kulintang_Gong.jpg?raw=true,Czh1oqx0Bpw,Kulintang Ensemble,"Maranao, Maguindanao, and Tausug musicians",13th century CE – present,"The Kulintang Ensemble consists of a number of horizontally aligned gongs, with varying-gongs used to provide rhythm; in addition, drums are played along with these in order to add additional sound/texture while performing as part of their celebration, ritual, wedding, etc. culturally, this type of music is very spiritual(in addition to being social) and continues to remain a key component of filipino indigenous music.",Traditional Music; Indigenous Instruments; Mindanao Culture; Performing Arts; Sound Heritage,"Mindanao (especially Maguindanao, Maranao, Tausug areas), Philippines",NCCA; Mindanao cultural heritage studies; National Museum of the Philippines,https://youtu.be/Czh1oqx0Bpw?si=WZl3-cp4wlvVDZre,LK-MIN-014,Musical Instrument / Traditional Music,image/jpeg; video/mp4,English,Used for educational purposes only. Copyright belongs to the Center for World Music and respective creators.,https://rightsstatements.org/vocab/InC/1.0/
demo_015,https://atg-prod-scalar.s3.amazonaws.com/resources-for-loss/media/Spoliarium%202.jpg?raw=true,,Spoliarium ,Juan Luna,1884 CE,"The Spoliarium is a large-scale oil painting by Juan Luna created in 1884 while living in Rome. This particular work depicts the remains of gladiators that had recently died being pulled off of the arena floor, underscoring how brutal and incredibly oppressive oppression really is. While the painting has historical significance, it is also commonly viewed as a visual representation of the struggles faced by Filipinos during the Spanish Colonial Period. As such, it is considered by many people to be one of the top masterpieces of Philippine Art and a powerful symbol of the national identity/resistance.",Painting; Fine Arts; Spanish Colonial Philippines; History; National Identity,"Rome, Italy (painted); currently in Manila, Philippines (National Museum of Fine Arts)",National Museum of Fine Arts (Manila); Juan Luna archives,,LK-NAT-015,Painting / Fine Art,image/jpeg,English,For educational use only. Rights belong to respective institutions and sources.,https://scalar.me/anvc/terms-of-service/
demo_016,https://www.ancient-origins.net/sites/default/files/formidable_0.jpg?raw=true,0ESh1E-HP2g,Bolinao Skull,Pre-colonial Filipinos of Pangasinan,14th–15th century CE,"The Bolinao Skull of Pangasinan is a significant archaeological object because it represents some of the earliest documented ways in which the ancient Filipino peoples practised funerary customs. A notable feature of this skull is that gold had been affixed to the teeth of the deceased in the form of thin gold leaves, indicating that gold was not only a symbol of wealth but was also likely to have some form of ceremonial or ritualistic significance to the pre-colonial population. This skull is believed to have belonged to an individual of high rank, thus enhancing the evidence for social stratification of the early peoples of the Philippines. Additionally, the elaborate nature of this adornment provides further demonstration of the exceptional craftsmanship that existed in the goldsmithing processes developed by indigenous goldsmiths long before the arrival of the Spanish colonizers.",Burial Practices; Archaeology; Pre-colonial Philippines; Human Remains; Funerary Cultur,"Bolinao, Pangasinan, Philippines",National Museum of the Philippines,https://youtu.be/0ESh1E-HP2g?si=2XSfrA0iKtOBXSQD,LK-ARC-016,Human Remains / Burial Artifact,image/jpeg; video/mp4,English,For educational use only. Rights belong to respective institutions and sources.,https://www.ancient-origins.net/terms-publication
demo_017,https://ccp-wagtail-bucket.s3.amazonaws.com/images/V_WORKS_Maitum_Jar_1.width-3000.jpg?raw=true,,Maitum Anthropomorphic Jars,Early Iron Age Filipinos (Sarangani/Maitum communities),5 BCE – 370 CE,"Discovered within Ayub Cave in Sarangani, the Maitum Anthropomorphic Jars have been regarded as one of the most extraordinary archaeological discoveries to be made in Southeast Asia. These jars are distinguished from other types of burial jars in that the jars are both physically shaped and decorated with features that are generally associated with human faces. These jars were used to hold human remains and funerary offerings during the Neolithic period and were used as burial vessels. The jars contain design attributes that illustrate that early Filipinos were capable of developing a sophisticated belief system regarding human mortality, and that they had an understanding of the use of the jars as symbolic representations of humans or as vessels for the journey to the afterlife.",Burial Traditions; Ancient Pottery; Iron Age Philippines; Archaeology; Ritual Objects,"Maitum, Sarangani, Philippines",National Museum of the Philippines,,LK-ARC-017,Burial Jar / Anthropomorphic Pottery,image/jpeg,English,Copyright © Cultural Center of the Philippines and respective owners. For educational use only.,https://rightsstatements.org/vocab/InC/1.0/
demo_018,https://www.franckgoddio.org/fileadmin/_processed_/7/9/csm_01-San-Diego-89-FG-1949_54e57ab5ff.jpg?raw=true,,San Diego Shipwreck Artifacts,Spanish colonial shipbuilders and Asian/European craftsmen,1600 CE (sank in battle),"In 1600, a Spanish galleon sank off Fortune Island in Batangas after a naval battle. The galleon was part of the Manila - Acapulco trade route that linked Asia and America during Spain's colonial period. A number of artifacts have been retrieved from this wreck such as cannons, porcelain, coins, weapons, and navigational instruments. This treasure trove of artifacts illustrates how extremely wealthy and globally well-connected the Philippines were during the colonial trade era and provide nonpareil examples of early maritime technologies and underwater archaeology within the area.",Maritime Archaeology; Naval Warfare; Spanish Colonial Trade; Shipwrecks; History,"Nasugbu, Batangas, Philippines (wreck site)",National Museum of the Philippines,,LK-MAR-018,Shipwreck Artifacts / Maritime Archaeology,image/jpeg,English,For educational use only. Rights belong to respective institutions and sources.,https://www.franckgoddio.org/cn/terms-conditions/
demo_019,https://ccp-wagtail-bucket.s3.amazonaws.com/images/V_WORKS_SantoNino_1.width-3000.jpg?raw=true,,Santo Niño de Cebu Image,Spanish religious sculptors,1565 CE,"The Santo Niño de Cebu is a religiously significant image of the infant Jesus Christ given to Queen Juana of Cebu during Ferdinand Magellan's exploration of the Philippines in 1521. It is regarded as the oldest Christian artefact in the Philippines, and is located at the Basilica del Santo Niño in Cebu City, Philippines. Over the years, the Santo Niño has gained extraordinary importance as an embodiment of Catholicism in the Philippines. Millions of devout followers honour the Santo Niño each year, particularly during the Sinulog Festival, which is both a religious experience as well as a cultural event.",Christianity; Religious Art; Spanish Colonization; Devotion; Cultural Heritage,"Cebu City, Philippines",Basilica del Santo Niño / Cebu Archdiocese,,LK-REL-019,Religious Icon / Sculpture,image/jpeg,English,Copyright © Cultural Center of the Philippines and respective owners. For educational use only.,https://rightsstatements.org/vocab/InC/1.0/
demo_020,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/LuzonensisMolars.jpg/500px-LuzonensisMolars.jpg?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail?raw=true https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Homo_luzonensis_metatarsal.jpg/500px-Homo_luzonensis_metatarsal.jpg?utm_source=en.wikipedia.org&utm_campaign=parser&utm_content=thumbnail?raw=true,,"Homo luzonensis, also know as Callao Man Remains",Early Homo species,"67,000 years ago","This extinct species of human was found in the Cave of Callao in Cagayan Provice, on the northern part of the island of Luzon located in the region of Southeast Asia. These found fossil remains consist of teeth, bones of fingers and toes and amount to evidence that suggests that a small but distinctly different type of human lived tens of thousands of years ago. The discovery of the Homo luzonensis, dated from 2019, has changed scientists' knowledge of the earliest human migration into Southeast Asia and indicates that there may have been a number of different species of humans in the Philippines at that time. This suggests that the Philippines is an important area for studying the evolution of the human lineage.",Human Evolution; Prehistoric Philippines; Archaeology; Early Humans; Anthropology,"Callao Cave, Cagayan, Philippines",National Museum of the Philippines,,LK-ARC-020,Human Remains / Archaeological Find,image/jpeg,English,For educational use only. Rights belong to respective institutions and sources.,https://rightsstatements.org/vocab/InC/1.0/
demo_021,https://ccp-wagtail-bucket.s3.amazonaws.com/images/V_WORKS_Jade_1_47Y6Ohg.width-3000.jpg?raw=true,,Palawan Jade Artifacts,Neolithic Filipino jade artisans,2000–500 BCE,"The Palawan Jade Artifacts are ancient objects made primarily from nephrite jade that have been found in places such as the Tabon Caves. These artifacts consist of various types of ornamental jewelry, such as the well-known “lingling-o” earring, beads, bracelets, and polished stone tools.

These artifacts belong to the Neolithic period (around 2000–1500 BCE) and reveal that early Filipinos were connected to an extensive maritime trade network linking Taiwan and Southeast Asia. The level of skill in crafting these jade artifacts indicates a highly advanced ability to work with stone, as well as the status associated with jade as an expensive unique stone. According to the artifacts and the craftspeople who created them, jade was a material that conferred social distinction and was used for ornamental purposes.",Jade Trade; Neolithic Culture; Archaeology; Pre-colonial Philippines; Material Culture,"Palawan, Philippines",National Museum of the Philippines,,LK-ARC-021,Jade Ornament / Archaeological Artifact,image/jpeg,English,Copyright © Cultural Center of the Philippines and respective owners. For educational use only.,https://rightsstatements.org/vocab/InC/1.0/
demo_022,https://images.summitmedia-digital.com/spotph/images/2024/05/08/20240507-140846-1-1-1715153350.jpg?raw=true,,Calatagan Burial Sites Artifacts,Pre-colonial Tagalog communities,14th–16th century CE,"The Calatagan Burial Sites in the province of Batangas are considered significant archaeological sites because they contain greater than 1000 pre-colonial graves. These graves are dated between the 14th and 15th centuries CE, and the artifacts found in them show the presence of both local earthenware and imported ceramics from China, Thailand, and Vietnam within this time period.

Artifacts that have been found in these graves include burial jars, plates, and ceramic vessels utilized for trade purposes; these artifacts indicate that early Filipinos were participants in regional maritime trade networks. These artifacts also indicate how individuals' beliefs about the afterlife and their position in society were expressed through the burial goods being deposited with their remains.",Burial Practices; Ancient Tagalog Culture; Archaeology; Funerary Objects,"Calatagan, Batangas, Philippines",National Museum of the Philippines,,LK-ARC-022,Burial Artifacts / Archaeological Site,image/jpeg,English,For educational use only. Rights belong to respective institutions and sources.,https://www.spot.ph/terms-of-use?ref=home_footer
demo_023,https://github.com/J1chii/Archaeology/blob/main/objects/Boxer%20code.jpg?raw=true,,Boxer Codex Illustrations,Unknown Chinese/Spanish illustrators under Spanish commission,1590 CE,"The Boxer Codex contains some of the oldest European drawings of Filipinos and other Asian people from the late 16th century. It also depicts pre-colonial Filipino clothing, social class, jewelry, and custom in great detail.

These images serve as an important source of visual documentation for how Filipinos lived and interacted with each other before the arrival of the Spanish and the early years of contact with the Spaniards. They also demonstrate how different social rankings, warfare practices, and cultural identities existed within various groups in the Philippines.",Ethnography; Spanish Colonial Philippines; Cultural Depictions; Manuscripts; History,Spain / Philippines (historical manuscript archive),National Library of Spain / scholarly archives,,LK-MAN-023,Manuscript / Ethnographic Illustrations,image/jpeg,English,For educational use only. Rights belong to respective institutions and sources.,https://rightsstatements.org/vocab/InC/1.0/
demo_024,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjPBNN7tUrLRRIOIQh6-NfpEsMmbEgi5GJpiCnOPK_e_AjEkF9VnVJLLMCnfaUZkysRj5z05b3xPBzScOGVTS_UETcjXyYDwzZMOoLK_w6fgfIy5Hele5wmvJOzp2zy_G25cNUek1-lNQg/w1200-h630-p-k-no-nu/bamboo+org+lrge+2.jpg?raw=true,xmpEHIl0Lj0,Las Piñas Bamboo Organ,Fr. Diego Cera (Spanish priest),1824 CE,"The Las Piñas Bamboo Organ is an exceptional church instrument made primarily out of bamboo pipe built during the 19th century and completed in 1824 under the direction of Father Diego Cera and located at St. Joseph Parish Church in Las Piñas.

It is widely regarded as one of the very few examples of a predominantly bamboo organ and has a unique gentle tone created by the use of bamboo. Even though it has suffered damage from earthquakes and typhoons, it has been restored and is considered a National Cultural Treasure and a representative of Filipino music.",Music; Church Heritage; Spanish Colonial Philippines; Organ Building; Religious Art,"Las Piñas, Metro Manila, Philippines",Las Piñas Parish / National Museum of the Philippines,https://www.youtube.com/watch?v=xmpEHIl0Lj0,LK-REL-024,Musical Instrument / Pipe Organ,image/jpeg; video/mp4,English,For educational use only. Rights belong to respective institutions and sources.,https://rightsstatements.org/vocab/InC/1.0/
demo_025,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS5c4kopqWrJSjW4OSC4raeOnNIP030gN8o4w&s?raw=true,,Santa Ana Site Artifacts,"Pre-colonial Tagalog communities (ancient inhabitants of Santa Ana, Manila)",12th–14th century CE,"Santa Ana in Manila is one of the most important pre-colonial archeological burial sites in the Philippines. The excavations have revealed more than 1,000 pieces of Chinese porcelain along with locally made pottery, beads, and other burial goods. The artifacts are dated to the Song dynasty period, indicating that Santa Ana was part of a long-established trading relationship with China. The burial materials also indicate a social hierarchy; more valuable, imported objects were often located in graves of higher status.",Trade; Pre-colonial Society; Archaeology; Urban Settlements; Material Culture,"Santa Ana, Manila, Philippines",National Museum of the Philippines,,LK-ARC-025,Archaeological Site / Material Culture,image/jpeg,English,For educational use only. Rights belong to respective institutions and sources.,https://rightsstatements.org/vocab/InC/1.0/
demo_026,https://img.static-kl.com/transform/986a039e-03b8-48ce-9c3c-f422a28144b8/?raw=true,,Intramuros,Spanish colonial government / engineers,Founded 1571 CE,"Manila's Spanish colonial district Intramuros, long since changed its role from being solely a politically, religiously, or militarily important place to being a national historical site of importance.",Colonial History; Urban Heritage; Spanish Philippines; Fortified Cities; Architecture,"Manila, Philippines",Intramuros Administration / National Museum,,LK-HIS-026,Historic City / Fortified Settlement,image/jpeg,English,Image is owned by Lola Pinay Designs and Art. Used for educational and non-commercial purposes only. No reuse or redistribution without permission from the creator.,https://rightsstatements.org/vocab/InC/1.0/
demo_027,https://github.com/J1chii/Archaeology/blob/main/objects/Fort%20Santiago.jpeg?raw=true,,Fort Santiago,Spanish colonial; military engineers,1571 CE,"One of the most historically significant sites within Intramuros is Fort Santiago. Fort Santiago served both as a naval fortification and as a prison for Dr. José Rizal before he was executed in 1896. As a symbol of the city's colonial past, buildings inside the walls of Fort Santiago include: the site of Fort Santiago was originally created in the late 1500s to guard the entrance of the Pasig River and protect the city of Manila against naval attacks and as historical landmarks after being restored by the Philippine government.",Military History; Spanish Colonial Defense; Architecture; War History; Heritage,"Manila, Philippines",Intramuros Administration,,LK-HIS-027,Fortification / Military Architecture,image/jpeg,English,For educational use only. Rights belong to respective institutions and sources.,https://rightsstatements.org/vocab/InC/1.0/
demo_028,https://upload.wikimedia.org/wikipedia/commons/c/cd/San_Agustin_Church%2C_Manila_after_the_1880_earthquake.jpg?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=original?raw=true,,San Agustin Church,Augustinian friars; Filipino laborers,1586–1607 CE,"San Agustin Church is the Philippines' first stone church. It was built in 1607 while the Philippines was occupied by Spain. The UNESCO-listed church is an example of Baroque architecture that has been created with an earthquake-resistant design.

The building has survived through numerous earthquakes and wars over centuries and continues to be one of the most significant landmarks of religious and historical value in the country. Inside the church are intricately-carved ceilings, extensive decorations of religious art, and an extensive collection of artifacts from Spain's Colonial period.",Baroque Architecture; Religion; Spanish Colonial Philippines; UNESCO Heritage; History,"Manila, Philippines",UNESCO / Augustinian Order,,LK-HIS-028,Church / Baroque Architecture,image/jpeg,English,For educational use only. Rights belong to respective institutions and sources.,https://rightsstatements.org/vocab/InC/1.0/
demo_029,https://philjets.com/wp-content/uploads/2018/07/Tours_Corregidor.jpg?raw=true,,Corregidor Island,Spanish then American military engineers,16th–20th century CE,"Corregidor Island sits at the mouth of Manila Bay. It was crucial to the war efforts of the US and Philippine militaries during World War II and was used as a stronghold against the Japanese.

Corregidor Island contains many war remnants including barracks, the Malinta Tunnel, and other artillery batteries. The island is now a memorial for those who served in the war, making it a very popular history site.",World War II; Military History; Defense Structures; War Heritage; Philippines,"Cavite, Philippines",Philippine military / National Historical Commission,,LK-HIS-029,Military Site / WWII Heritage,image/jpeg,English,"All product names, logos, and brands are property of their respective owners. Content © Philjets 2018. Used for educational and non-commercial purposes only.",https://rightsstatements.org/vocab/InC/1.0/
